start_date,end_date,recipient_name,amount
2016-05-01,2016-09-30,PERATON ENTERPRISE SOLUTIONS LLC,2420377.12
2010-02-18,2010-09-30,INDIAN SUMMER COOPERATIVE INC,2385410.75
2013-09-27,2016-06-26,GLOBAL RESOURCE SOLUTIONS INC,2379567.93
2013-12-23,2015-03-23,YORK INTERNATIONAL CORPORATION,2375088.0
2023-08-18,2026-08-20,BOOZ ALLEN HAMILTON INC,2370614.19
2021-09-30,2025-03-30,ALTASCIENCES CLINICAL KANSAS INC,2370057.0
2016-01-07,2017-03-31,"DIXIE CHEMICAL COMPANY, INC.",2369526.67
2014-05-22,2015-02-06,"SOTERA DEFENSE SOLUTIONS, INC.",2362684.59
2009-05-13,2010-03-07,HARRIS CORPORATION,2342253.93
2023-09-11,2024-09-10,"PERFORMANCE ASSESSMENT NETWORK, INC",2331290.9
2006-10-23,2008-11-30,ISRAEL AEROSPACE INDUSTRIES - BEDEK ACCESSORIES MATA,2326293.1
2007-10-01,2007-10-31,"MCKESSON HBOC, INC.",2313370.41
2024-11-10,2025-11-09,FLYWHEEL DATA LLC,2311025.82
2024-09-27,2026-08-31,"THE MATHWORKS, INC.",2299916.0
2024-09-16,2025-07-30,"ATLANTIC DIVING SUPPLY, INC.",2293839.73
2016-06-30,2018-08-06,RED CEDAR ENTERPRISES INC,2277800.25
2013-10-28,2018-05-17,"PHOENIX INTERNATIONAL, INC.",2268051.41
2013-03-07,2013-04-22,NORTHROP GRUMMAN SYSTEMS CORPORATION,2262564.4
2017-03-30,2018-03-06,"IRON BOW TECHNOLOGIES, LLC",2255822.18
2012-10-01,2018-08-31,GEORGIA POWER COMPANY,2253869.59
2011-09-27,2013-10-23,"CH2M HILL, INC",2249021.68
2014-01-10,2019-05-09,MARKON LLC,2221378.12
2016-04-29,2016-08-01,"NOBLE SUPPLY & LOGISTICS, LLC",2211051.87
2022-07-01,2023-06-30,CYNERGY PROFESSIONAL SYSTEMS LLC,2210777.07
2010-07-01,2011-06-30,IQGEO AMERICA INC,2200500.0
2012-06-13,2013-06-12,BAE SYSTEMS INFORMATION SOLUTIONS INC.,2198061.0
2021-09-27,2022-01-31,"TRACE3 GOVERNMENT, LLC",2163520.5
2022-09-20,2023-01-06,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",2163085.0
2016-03-28,2017-09-30,"CACI NSS, LLC",2162955.91
2010-09-30,2011-08-31,KVH INDUSTRIES INC,2153859.0
2011-05-25,2012-08-16,OCEANETICS INC,2150760.57
2008-06-23,2008-08-08,GOLDBELT SPECIALTY SERVICES LLC,2150396.98
2009-10-01,2010-09-30,"QUEST DIAGNOSTICS CLINICAL LABORATORIES, INC.",2150000.0
2013-10-18,2014-09-30,"CROWLEY GOVERNMENT SERVICES, INC.",2146715.49
2009-03-05,2009-08-31,"VORTEX MARINE CONSTRUCTION, INC.",2129000.0
2007-09-26,2009-09-03,RATCLIFF CONSTRUCTION INC,2124711.0
